mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.8933099269866944,1.517383724977171,0.019572877883911134,0.0010850891284928785,,10,200,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 200}",0.6655199101025727,0.5597777540811528,0.6784897773393465,0.4751251648018491,0.5499825448505395,0.5857790302350923,0.07636180093935335,3
5.851122283935547,3.2627907884594873,0.03279953002929688,0.0017733366740145663,,10,400,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 400}",0.6656397546291877,0.5640322275721529,0.6804154383321326,0.4716218379146052,0.5477591494908405,0.5858936815877838,0.07782546964838757,1
1.32294921875,0.5682501519600315,0.011428451538085938,0.0017417448285686004,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6542974019551101,0.557286106942158,0.6761230248414098,0.4331074522365784,0.471851194635059,0.5585330361220631,0.09617181788798039,40
2.66321702003479,1.1499743387416723,0.018261051177978514,0.0006498711378981059,5,1,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 200}",0.6562741491759723,0.5647623008903526,0.6760606698901355,0.4331572511363352,0.46753501233835637,0.5595578766862304,0.09736462388579373,38
5.451304864883423,2.4032091373250766,0.03811182975769043,0.006930655939859571,5,1,400,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6576434467550534,0.5666990867167436,0.6771077840552573,0.4282170632036787,0.46597333687601505,0.5591281435213495,0.09949603879921644,39
1.3376291751861573,0.5875690956395885,0.012571477890014648,0.0012084613709115416,5,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6619133710851124,0.5596709158311228,0.6790311036835079,0.4386225775269663,0.482554413305767,0.5643584762864953,0.0950685680478544,34
2.7155731201171873,1.2474377676262993,0.01945343017578125,0.001771573044471437,5,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 200}",0.6592929582424603,0.5626902603682638,0.6778746047317057,0.43818004414613754,0.4775196057057586,0.5631114946388651,0.09524228219732657,36
5.635446834564209,2.5189410340624123,0.03729248046875,0.006702759782249014,5,2,400,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6609562960022946,0.5656032675063755,0.6786678218404942,0.4332516789802531,0.47729908423843814,0.5631556297135711,0.0971189071234825,35
1.3564323425292968,0.6815770831333087,0.011842107772827149,0.0003367158708625102,5,5,100,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}",0.6724801658307366,0.5653872378325551,0.6790200959632315,0.45458866637996775,0.5285468054482192,0.5800045942909421,0.08596106911760848,22
2.7680245876312255,1.2111097822236871,0.022678518295288087,0.006486680846300635,5,5,200,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 200}",0.67160792925723,0.5644119823661393,0.6788747943345503,0.45425965993557305,0.5249938269988742,0.5788296385784734,0.08630259255632285,24
5.183891725540161,2.3054768117338873,0.03513216972351074,0.002858358314539879,5,5,400,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6712515643220536,0.5629767825858862,0.6806361650278108,0.4530970019950754,0.5280414191570943,0.5792005866175841,0.08665465405957323,23
1.1834027290344238,0.5797497536581833,0.011392641067504882,0.0014334805702284445,5,10,100,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 100}",0.6620201118914948,0.5592149387536833,0.6776858314247036,0.4713436691161974,0.530496048607906,0.580152119958797,0.07868743600981538,21
2.411813831329346,1.199307038820783,0.018785715103149414,0.001405428937342353,5,10,200,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 200}",0.6655313151815163,0.5618010067104109,0.6760142019788198,0.46964469648162777,0.5350368131324993,0.5816056066969748,0.07880688743840983,20
