date,et_mm,region,et_mm_fuera_de_rango,es_duplicado
2007-04-01,3.7155835128995434,Narino,False,False
2007-05-01,4.017294046973244,Narino,False,False
2007-06-01,3.921305299851329,Narino,False,False
2007-07-01,3.923576065582726,Narino,False,False
2007-08-01,3.8792174527161367,Narino,False,False
2007-09-01,3.73738890014496,Narino,False,False
2007-10-01,3.8679262484952273,Narino,False,False
2007-11-01,3.7877162226854986,Narino,False,False
2007-12-01,3.4972028206975923,Narino,False,False
2008-01-01,3.53308641258912,Narino,False,False
2008-02-01,3.40139220421805,Narino,False,False
2008-03-01,3.515667374035873,Narino,False,False
2008-04-01,3.9183215707707775,Narino,False,False
2008-05-01,3.782261929578148,Narino,False,False
2008-06-01,3.762839618393111,Narino,False,False
2008-07-01,4.061134685845409,Narino,False,False
2008-08-01,4.080798623170701,Narino,False,False
2008-09-01,4.200050545957539,Narino,False,False
2008-10-01,4.291839335859473,Narino,False,False
2008-11-01,3.838683960451596,Narino,False,False
2008-12-01,3.6678556446556856,Narino,False,False
2009-01-01,3.308996112214195,Narino,False,False
2009-02-01,3.516842214653141,Narino,False,False
2009-03-01,3.869957640531566,Narino,False,False
2009-04-01,3.9665225730662734,Narino,False,False
2009-05-01,4.341675767047835,Narino,False,False
2009-06-01,3.997748962220777,Narino,False,False
2009-07-01,4.488775134011478,Narino,False,False
2009-08-01,4.116311289001535,Narino,False,False
2009-09-01,4.230186900367101,Narino,False,False
2009-10-01,3.88601748178673,Narino,False,False
2009-11-01,3.9372306176482574,Narino,False,False
2009-12-01,3.506331887533361,Narino,False,False
2010-01-01,3.933317712238008,Narino,False,False
2010-02-01,3.556516074696768,Narino,False,False
2010-03-01,3.857352385036088,Narino,False,False
2010-04-01,3.6862203782779006,Narino,False,False
2010-05-01,3.7390834927272474,Narino,False,False
2010-06-01,3.709790501957848,Narino,False,False
2010-07-01,3.89189759572312,Narino,False,False
2010-08-01,3.860080573344606,Narino,False,False
2010-09-01,3.960531925406961,Narino,False,False
2010-10-01,4.128718399398822,Narino,False,False
2010-11-01,3.459200281888185,Narino,False,False
2010-12-01,3.070957290610965,Narino,False,False
2011-01-01,3.4384264427844475,Narino,False,False
