date,et_mm,region
2022-05-01,3.627938925555101,Cauca
2022-06-01,3.3325937210378997,Cauca
2022-07-01,3.333998264798107,Cauca
2022-08-01,3.8048640826064055,Cauca
2022-09-01,3.5556484998994677,Cauca
2022-10-01,3.7187869079726186,Cauca
2022-11-01,3.5527117253478924,Cauca
2022-12-01,3.627105253527647,Cauca
2023-01-01,3.53370127278737,Cauca
2023-02-01,3.8446270680388914,Cauca
2023-03-01,3.6100954513171524,Cauca
2023-04-01,3.7412415072975183,Cauca
2023-05-01,3.965187452068636,Cauca
2023-06-01,3.9719313826326066,Cauca
2023-07-01,3.608386463830685,Cauca
2023-08-01,3.432898349454675,Cauca
2023-09-01,3.253361943888373,Cauca
2023-10-01,3.3900702253063444,Cauca
2023-11-01,3.7264130914595652,Cauca
2023-12-01,3.519779967499,Cauca
2024-01-01,4.133659654029701,Cauca
2024-02-01,3.345244797998724,Cauca
2024-03-01,3.5867765052273173,Cauca
2024-04-01,3.661179729476321,Cauca
2024-05-01,3.5989882753189417,Cauca
2024-06-01,3.5979871944712793,Cauca
2024-07-01,3.8729086377317525,Cauca
2024-08-01,3.65866614489197,Cauca
2024-09-01,3.208505367155302,Cauca
2024-10-01,3.946613356010336,Cauca
2024-11-01,3.589856453479544,Cauca
2024-12-01,3.4427805698422955,Cauca
2025-01-01,3.695344319939151,Cauca
2025-02-01,3.2573797402128175,Cauca
2025-03-01,3.2339492872030697,Cauca
2025-04-01,3.329800731797032,Cauca
2025-05-01,3.5634233004632834,Cauca
2025-06-01,3.3522133202330426,Cauca
2025-07-01,3.473250209307371,Cauca
2025-08-01,3.263715077722791,Cauca
2025-09-01,2.997056646610516,Cauca
2025-10-01,3.2733527276433163,Cauca
2025-11-01,3.376603274703219,Cauca
2025-12-01,3.6815714422062906,Cauca
2026-01-01,2.9366583111244102,Cauca
2026-02-01,3.1138165760580354,Cauca
2026-03-01,3.484729263708811,Cauca
2026-04-01,3.462979627799813,Cauca
2026-05-01,3.5144769173671824,Cauca
2026-06-01,3.2373574163810908,Cauca
2026-07-01,3.2182504709689925,Cauca
2000-03-01,3.460627913173419,Narino
2000-04-01,3.5749569886985713,Narino
2000-05-01,3.6193327641520208,Narino
2000-06-01,3.829529465748032,Narino
2000-07-01,3.9646464150007112,Narino
2000-08-01,4.233669894156371,Narino
2000-09-01,4.132982243578034,Narino
2000-10-01,4.061277552543985,Narino
